Key,Id,Trial,Image,H1,H1Data,H2,H2Data,H3,H3Data
302,xjCH2dF,8,0,C and (B then A),0,B then A then C,10,B then (A and C),0
303,xjCH2dF,14,0,A then B,10,A and B,1,A then (B or C),0
304,xjCH2dF,4,0,A and B,5,B then A,9,(B or C) then A,2
305,GfFy8So,19,0,(A and C) or (B then C),5,(A or B) then C,10,C and (A or B),5
306,GfFy8So,11,0,(A and C) or (B then A),3,A and (B or C),3,(B or C) then A,10
307,GfFy8So,8,0,B then (A and C),0,C and (B then A),0,B then A then C,8
308,GfFy8So,5,0,A and C,5,A then C,8,(A or B) then C,0
309,GfFy8So,1,0,A or C,0,A or B,0,A,10
310,GfFy8So,9,0,A or B or C,0,A or C,5,A or C or (C then B),0
311,GfFy8So,17,0,(A then C) or (B then A),5,A and (B or C),5,(A and C) or (B then A),5
312,GfFy8So,2,0,B or (B and C),0,B,10,B or (A and B),0
313,GfFy8So,12,0,C and (A or B),0,A and C,5,A and (B or C),0
314,GfFy8So,3,0,A then B,10,A and B,0,A then (B or C),3
315,GfFy8So,15,0,(B or C) then A,0,B then A,5,A and B,5
316,GfFy8So,18,0,B and (A or C),5,B then (A or C),5,(A and B) or (B then C),5
317,GfFy8So,6,0,A then B then C,10,A and B and C,0,(A and B) then C,0
318,GfFy8So,13,0,A,10,A or (B and C),0,A or B,0
319,GfFy8So,16,0,A then C,10,(A or B) then C,0,A and C,0
320,GfFy8So,4,0,(B or C) then A,0,B then A,10,A and B,1
321,GfFy8So,14,0,A then (B or C),0,A and B,0,A then B,10
322,GfFy8So,7,0,B and (A then C),0,(A and C) then B,0,A then C then B,10
323,GfFy8So,10,0,(A or C) then B,10,B and (A or C),0,(A and B) or (C then B),0
324,1VJoBSX,10,0,(A and B) or (C then B),0,(A or C) then B,10,B and (A or C),0
325,1VJoBSX,11,0,(A and C) or (B then A),5,(B or C) then A,10,A and (B or C),5
326,1VJoBSX,3,0,A then B,7,A and B,7,A then (B or C),5
327,1VJoBSX,12,0,A and C,10,C and (A or B),0,A and (B or C),0
328,1VJoBSX,17,0,(A then C) or (B then A),10,(A and C) or (B then A),8,A and (B or C),9
329,1VJoBSX,14,0,A then (B or C),5,A then B,9,A and B,0
330,1VJoBSX,7,0,A then C then B,10,(A and C) then B,5,B and (A then C),0
331,1VJoBSX,1,0,A or B,5,A or C,5,A,10
332,1VJoBSX,4,0,B then A,10,(B or C) then A,5,A and B,5
333,1VJoBSX,19,0,(A and C) or (B then C),4,(A or B) then C,10,C and (A or B),4
334,1VJoBSX,15,0,(B or C) then A,3,B then A,10,A and B,0
335,1VJoBSX,16,0,(A or B) then C,2,A then C,10,A and C,1
336,1VJoBSX,13,0,A or B,2,A,10,A or (B and C),0
337,1VJoBSX,8,0,C and (B then A),5,B then (A and C),3,B then A then C,10
338,1VJoBSX,6,0,A then B then C,10,(A and B) then C,3,A and B and C,3
339,1VJoBSX,5,0,(A or B) then C,1,A and C,4,A then C,10
340,1VJoBSX,2,0,B or (A and B),0,B or (B and C),0,B,10
341,1VJoBSX,9,0,A or B or C,5,A or C,8,A or C or (C then B),3
342,1VJoBSX,18,0,B then (A or C),10,(A and B) or (B then C),8,B and (A or C),7
343,26IjMh8,4,0,A and B,5,B then A,5,(B or C) then A,0
344,26IjMh8,3,0,A then (B or C),5,A then B,7,A and B,6
345,26IjMh8,17,0,A and (B or C),5,(A and C) or (B then A),5,(A then C) or (B then A),9
346,26IjMh8,16,0,A then C,10,A and C,2,(A or B) then C,1
347,26IjMh8,14,0,A and B,1,A then B,9,A then (B or C),1
348,26IjMh8,18,0,B then (A or C),8,(A and B) or (B then C),5,B and (A or C),5
349,26IjMh8,2,0,B or (B and C),1,B or (A and B),1,B,9
350,26IjMh8,8,0,C and (B then A),5,B then (A and C),5,B then A then C,9
351,26IjMh8,11,0,A and (B or C),5,(A and C) or (B then A),6,(B or C) then A,7
352,26IjMh8,15,0,A and B,3,(B or C) then A,1,B then A,9
353,26IjMh8,7,0,A then C then B,9,(A and C) then B,5,B and (A then C),1
354,26IjMh8,9,0,A or B or C,5,A or C or (C then B),1,A or C,9
355,26IjMh8,5,0,(A or B) then C,5,A then C,8,A and C,5
